mol_id_a,mol_id_b,mol_id_c,x_a,x_b,x_c,dn_linear,dn_feature
230,3381,21380,0.15000000000000002,0.25,0.6,36.142407086381255,33.60983906367896
230,3381,21380,0.15000000000000002,0.30000000000000004,0.5499999999999999,36.14777164886719,33.60916685511072
230,3381,21380,0.15000000000000002,0.35000000000000003,0.49999999999999994,36.153136211353136,33.62992919681175
230,3381,21380,0.15000000000000002,0.4,0.44999999999999996,36.15850077383908,33.62992919681175
230,3381,21380,0.15000000000000002,0.45,0.39999999999999997,36.16386533632502,33.62957324747073
230,3381,21380,0.15000000000000002,0.5,0.35,36.169229898810954,33.43943208876231
230,3381,21380,0.15000000000000002,0.55,0.29999999999999993,36.1745944612969,33.43943208876231
230,3381,21380,0.15000000000000002,0.6000000000000001,0.2499999999999999,36.17995902378284,33.411815928806504
230,3381,21380,0.15000000000000002,0.65,0.19999999999999996,36.18532358626878,33.411815928806504
230,3381,21380,0.15000000000000002,0.7000000000000001,0.1499999999999999,36.19068814875472,33.411815928806504
230,3381,21380,0.15000000000000002,0.75,0.09999999999999998,36.19605271124066,33.411815928806504
230,3381,21380,0.15000000000000002,0.8,0.04999999999999993,36.201417273726605,33.411815928806504
230,3381,21380,0.15000000000000002,0.8500000000000001,0.0,36.20678183621254,33.40840056304532
230,3381,21380,0.2,0.0,0.8,36.14907469862498,33.75234677122611
230,3381,21380,0.2,0.05,0.75,36.15443926111092,33.75234677122611
230,3381,21380,0.2,0.1,0.7000000000000001,36.15980382359686,33.425375898027816
230,3381,21380,0.2,0.15000000000000002,0.65,36.165168386082804,33.425375898027816
230,3381,21380,0.2,0.2,0.6000000000000001,36.17053294856875,33.42319841463339
230,3381,21380,0.2,0.25,0.55,36.175897511054686,33.44396075633442
230,3381,21380,0.2,0.30000000000000004,0.5,36.18126207354062,33.44396075633442
230,3381,21380,0.2,0.35000000000000003,0.45,36.18662663602656,33.44444320570562
230,3381,21380,0.2,0.4,0.4,36.191991198512504,33.44444320570562
230,3381,21380,0.2,0.45,0.35000000000000003,36.19735576099845,33.44084630180966
230,3381,21380,0.2,0.5,0.30000000000000004,36.202720323484385,33.44017409324142
230,3381,21380,0.2,0.55,0.25,36.20808488597033,33.4393356945292
230,3381,21380,0.2,0.6000000000000001,0.19999999999999996,36.213449448456274,33.411815928806504
230,3381,21380,0.2,0.65,0.15000000000000002,36.21881401094221,33.411815928806504
230,3381,21380,0.2,0.7000000000000001,0.09999999999999998,36.22417857342815,33.411815928806504
230,3381,21380,0.2,0.75,0.050000000000000044,36.22954313591409,33.411815928806504
230,3381,21380,0.2,0.8,0.0,36.23490769840003,33.42347016406889
230,3381,21380,0.25,0.0,0.75,36.18256512329841,33.598592346513286
230,3381,21380,0.25,0.05,0.7,36.18792968578435,33.56620282306956
230,3381,21380,0.25,0.1,0.65,36.19329424827029,33.42577620468373
230,3381,21380,0.25,0.15000000000000002,0.6,36.19865881075623,33.4235987212893
230,3381,21380,0.25,0.2,0.55,36.204023373242165,33.44436106299033
230,3381,21380,0.25,0.25,0.5,36.20938793572811,33.44484351236153
230,3381,21380,0.25,0.30000000000000004,0.44999999999999996,36.214752498214054,33.44484351236153
230,3381,21380,0.25,0.35000000000000003,0.39999999999999997,36.22011706069999,33.44484351236153
230,3381,21380,0.25,0.4,0.35,36.22548162318593,33.44124660846557
230,3381,21380,0.25,0.45,0.3,36.23084618567187,33.44124660846557
230,3381,21380,0.25,0.5,0.25,36.23621074815781,33.44124660846557
230,3381,21380,0.25,0.55,0.19999999999999996,36.24157531064375,33.412488137374744
230,3381,21380,0.25,0.6000000000000001,0.1499999999999999,36.2469398731297,33.412488137374744
230,3381,21380,0.25,0.65,0.09999999999999998,36.252304435615635,33.411815928806504
230,3381,21380,0.25,0.7000000000000001,0.04999999999999993,36.25766899810157,33.42688552983007
230,3381,21380,0.25,0.75,0.0,36.263033560587516,33.42347016406889
230,3381,21380,0.30000000000000004,0.0,0.7,36.216055547971834,33.64028356905832
230,3381,21380,0.30000000000000004,0.05,0.6499999999999999,36.22142011045777,33.64028356905832
230,3381,21380,0.30000000000000004,0.1,0.6,36.22678467294372,33.453220672805706
230,3381,21380,0.30000000000000004,0.15000000000000002,0.5499999999999999,36.23214923542966,33.44436106299033
230,3381,21380,0.30000000000000004,0.2,0.49999999999999994,36.2375137979156,33.44484351236153
230,3381,21380,0.30000000000000004,0.25,0.44999999999999996,36.24287836040154,33.44484351236153
230,3381,21380,0.30000000000000004,0.30000000000000004,0.3999999999999999,36.24824292288748,33.44484351236153
230,3381,21380,0.30000000000000004,0.35000000000000003,0.3499999999999999,36.25360748537342,33.44124660846557
230,3381,21380,0.30000000000000004,0.4,0.29999999999999993,36.25897204785936,33.44124660846557
230,3381,21380,0.30000000000000004,0.45,0.24999999999999994,36.264336610345296,33.44124660846557
230,3381,21380,0.30000000000000004,0.5,0.19999999999999996,36.26970117283124,33.44127854941662
230,3381,21380,0.30000000000000004,0.55,0.1499999999999999,36.27506573531718,33.412488137374744
230,3381,21380,0.30000000000000004,0.6000000000000001,0.09999999999999987,36.28043029780312,33.412488137374744
230,3381,21380,0.30000000000000004,0.65,0.04999999999999993,36.28579486028906,33.42755773839831
230,3381,21380,0.30000000000000004,0.7000000000000001,0.0,36.29115942277501,33.42476406016487
230,3381,21380,0.35000000000000003,0.0,0.6499999999999999,36.24954597264526,33.64028356905832
230,3381,21380,0.35000000000000003,0.05,0.5999999999999999,36.254910535131195,33.64028356905832
230,3381,21380,0.35000000000000003,0.1,0.5499999999999999,36.26027509761714,33.52110174174472
230,3381,21380,0.35000000000000003,0.15000000000000002,0.4999999999999999,36.26563966010308,33.453703122176904
230,3381,21380,0.35000000000000003,0.2,0.4499999999999999,36.27100422258902,33.453703122176904
230,3381,21380,0.35000000000000003,0.25,0.3999999999999999,36.276368785074965,33.453703122176904
