mol_id,smiles,dn_pred_rf,dn_pred_xgb,dn_pred_ens,MW,LogP,TPSA,Nrot,SA
1174,CNS,27.245881254995687,28.197556,27.767330266587493,63.12500000000001,0.05059999999999998,12.03,0,1.15
1180,CNc1cnccn1,30.676354786065158,30.62501,30.646666844069713,109.13199999999999,0.5182999999999998,37.81,1,3.58
1183,CNC1CCNC1,29.64829933878166,29.631659,29.644102510188652,100.165,-0.43230000000000013,24.06,1,2.03
1185,CNC(O)O,24.29554690693964,24.343277,24.311177990410343,77.083,-1.5260000000000002,52.489999999999995,1,1.43
1188,CCCN,27.77910401334915,28.168852,28.039552586568263,59.11199999999999,0.3551000000000001,26.02,1,1.38
1193,NCO,24.500432604276337,24.53347,24.485107970869052,47.057,-1.1051000000000002,46.25,0,1.15
1196,NCN,27.31288866321396,26.881989,27.084449433314475,46.07299999999999,-1.1387,52.04,0,1.15
1197,CNCN,28.23869092167143,28.107061,28.161264229741086,60.099999999999994,-0.8780000000000001,38.05,1,1.38
1199,CN(C)CN,28.572905877603613,28.497501,28.555435503922908,74.127,-0.5358,29.259999999999998,1,1.43
1200,NCN1CC1,28.379946728022848,28.172619,28.26413451712746,72.111,-0.7818,29.03,1,1.93
1204,NCS,26.55250516416953,26.447554,26.506755982300202,63.125,-0.16759999999999992,26.02,0,1.15
1209,NCc1ccncc1,30.25993696862856,30.268127,30.310214214199014,108.14399999999998,0.5403000000000001,38.91,1,3.58
1214,NCC1CCNC1,29.694710183704967,29.681896,29.683090669045036,100.165,-0.4454,38.05,1,2.03
1216,NCC(O)O,24.08523500541112,24.025454,24.055324857623425,77.083,-1.7442,66.48,1,1.43
1227,CCNN,28.94403628378401,29.289755,29.11115586804707,60.099999999999994,-0.5304,38.05,1,1.38
1229,CCNN(C)C,29.72773919619049,29.798628,29.75310975766488,88.154,0.07250000000000001,15.27,2,1.66
1230,CCNN1CC1,29.773387431988024,30.013987,29.91132206855734,86.138,-0.1735,15.04,2,2.16
1247,CCNC1CCNC1,29.912523983136637,29.98731,29.955283784324237,114.19200000000001,-0.04219999999999996,24.06,2,2.26
1259,CNCCN,28.83945573315601,28.828463,28.83959486282507,74.127,-0.8354999999999999,38.05,2,1.6099999999999999
