run,rank,feature
4,44,fr_NH1
4,45,morgan_378
4,46,morgan_429
4,47,maccs_164
4,48,maccs_84
4,49,maccs_156
4,50,BCUT2D_MRLOW
4,51,TPSA
4,52,BCUT2D_MRHI
4,53,maccs_41
4,54,PEOE_VSA14
4,55,SMR_VSA2
4,56,fr_nitrile
4,57,VSA_EState4
4,58,MolMR
4,59,BCUT2D_CHGLO
4,60,PEOE_VSA4
4,61,NumHAcceptors
4,62,BCUT2D_LOGPLOW
4,63,maccs_117
4,64,EState_VSA1
4,65,morgan_330
4,66,SMR_VSA10
4,67,maccs_159
4,68,maccs_120
4,69,maccs_98
4,70,SlogP_VSA12
4,71,maccs_79
4,72,FpDensityMorgan2
4,73,MaxAbsPartialCharge
4,74,MinPartialCharge
4,75,BCUT2D_CHGHI
4,76,maccs_157
4,77,morgan_147
4,78,SlogP_VSA3
4,79,morgan_114
4,80,MolLogP
4,81,VSA_EState2
4,82,MinAbsEStateIndex
4,83,maccs_134
4,84,BCUT2D_LOGPHI
4,85,FpDensityMorgan3
4,86,maccs_112
4,87,maccs_146
4,88,VSA_EState7
4,89,morgan_278
4,90,Chi1v0
4,91,VSA_EState8
4,92,maccs_122
4,93,Chi0v0
4,94,Chi0v
4,95,PEOE_VSA3
4,96,LabuteASA
4,97,maccs_77
4,98,qed
4,99,Kappa3
4,100,Chi0n
4,101,NumValenceElectrons
4,102,Chi1v1
4,103,BertzCT
4,104,SlogP_VSA5
4,105,Chi0v1
4,106,SlogP_VSA2
4,107,morgan_392
4,108,PEOE_VSA7
4,109,fr_amide
4,110,Chi1v
4,111,VSA_EState6
4,112,BCUT2D_MWLOW
4,113,Kappa1
4,114,Chi1n
4,115,PEOE_VSA6
4,116,SMR_VSA5
4,117,MolWt
4,118,PEOE_VSA1
4,119,Chi0
4,120,ExactMolWt
4,121,HeavyAtomMolWt
4,122,morgan_428
4,123,Chi3n
4,124,Chi2v
4,125,Chi2v1
4,126,Chi1
4,127,BalabanJ
4,128,FractionCSP3
4,129,Chi2n
4,130,Chi3v1
4,131,n_S
4,132,Kappa2
4,133,EState_VSA2
4,134,VSA_EState9
4,135,FpDensityMorgan1
4,136,SlogP_VSA4
4,137,Chi3v0
4,138,morgan_427
4,139,PEOE_VSA2
4,140,Chi2v0
4,141,SlogP_VSA8
4,142,PEOE_VSA8
4,143,maccs_88
4,144,VSA_EState3
4,145,Chi4n
4,146,Chi3v
4,147,SMR_VSA9
4,148,morgan_360
4,149,Chi4v1
4,150,PEOE_VSA10
4,151,Chi4v0
4,152,maccs_38
4,153,Ipc
4,154,maccs_140
4,155,morgan_162
4,156,EState_VSA6
4,157,VSA_EState10
4,158,EState_VSA9
4,159,morgan_420
4,160,SMR_VSA6
4,161,maccs_80
4,162,PEOE_VSA9
4,163,Chi4v
4,164,morgan_337
4,165,n_aromatic_rings
4,166,EState_VSA3
4,167,morgan_379
4,168,fr_ArN
4,169,EState_VSA7
