mol_id_a,mol_id_b,x_a,x_b,dn_linear,dn_feature,dn_feature_minus_linear
3381,21363,0.9500000000000001,0.04999999999999993,36.108236852466334,29.174335948280024,-6.933900904186309
3381,21363,1.0,0.0,36.12240424965008,29.178561452059352,-6.9438427975907295
21380,21371,0.0,1.0,35.876151984080856,29.34942168832693,-6.526730295753925
21380,21371,0.05,0.95,35.88310003487337,29.319334705549355,-6.563765329324017
21380,21371,0.1,0.9,35.890048085665896,29.3193308792254,-6.570717206440495
21380,21371,0.15000000000000002,0.85,35.89699613645842,29.3193308792254,-6.5776652572330185
21380,21371,0.2,0.8,35.90394418725094,29.3193308792254,-6.584613308025542
21380,21371,0.25,0.75,35.91089223804346,29.3193308792254,-6.591561358818058
21380,21371,0.30000000000000004,0.7,35.917840288835976,29.3193308792254,-6.598509409610575
21380,21371,0.35000000000000003,0.6499999999999999,35.9247883396285,29.3193308792254,-6.605457460403098
21380,21371,0.4,0.6,35.93173639042102,29.31945403481646,-6.612282355604563
21380,21371,0.45,0.55,35.93868444121354,29.31364211147774,-6.625042329735798
21380,21371,0.5,0.5,35.94563249200606,29.31364211147774,-6.631990380528322
21380,21371,0.55,0.44999999999999996,35.952580542798586,29.287190987080354,-6.665389555718232
21380,21371,0.6000000000000001,0.3999999999999999,35.9595285935911,29.287190987080354,-6.672337606510748
21380,21371,0.65,0.35,35.966476644383626,29.287190987080354,-6.6792856573032715
21380,21371,0.7000000000000001,0.29999999999999993,35.97342469517614,29.287190987080354,-6.686233708095788
21380,21371,0.75,0.25,35.980372745968666,29.335919297148802,-6.644453448819863
21380,21371,0.8,0.19999999999999996,35.98732079676119,29.33619517656237,-6.651125620198819
21380,21371,0.8500000000000001,0.1499999999999999,35.994268847553705,29.33619517656237,-6.658073670991335
21380,21371,0.9,0.09999999999999998,36.00121689834623,29.322880472193035,-6.678336426153194
21380,21371,0.9500000000000001,0.04999999999999993,36.008164949138745,29.322880472193035,-6.685284476945711
21380,21371,1.0,0.0,36.01511299993127,29.346780532652193,-6.668332467279075
21380,21363,0.0,1.0,35.83905630597516,28.946937587561045,-6.8921187184141175
21380,21363,0.05,0.95,35.847859140672966,28.93992255411642,-6.907936586556545
21380,21363,0.1,0.9,35.85666197537078,28.880762668675732,-6.9758993066950445
21380,21363,0.15000000000000002,0.85,35.86546481006858,29.300364413738123,-6.5651003963304575
21380,21363,0.2,0.8,35.874267644766384,29.300230347565652,-6.574037297200732
21380,21363,0.25,0.75,35.88307047946419,29.300230347565652,-6.582840131898536
21380,21363,0.30000000000000004,0.7,35.891873314162,29.300230347565652,-6.591642966596346
21380,21363,0.35000000000000003,0.6499999999999999,35.900676148859795,29.300230347565652,-6.600445801294143
21380,21363,0.4,0.6,35.909478983557605,29.300230347565652,-6.609248635991953
21380,21363,0.45,0.55,35.91828181825541,29.300230347565652,-6.618051470689757
21380,21363,0.5,0.5,35.92708465295321,29.300230347565652,-6.62685430538756
21380,21363,0.55,0.44999999999999996,35.935887487651016,29.300230347565652,-6.635657140085364
21380,21363,0.6000000000000001,0.3999999999999999,35.944690322348826,29.273779223168265,-6.670911099180561
21380,21363,0.65,0.35,35.95349315704663,29.273779223168265,-6.679713933878364
21380,21363,0.7000000000000001,0.29999999999999993,35.96229599174443,29.273779223168265,-6.688516768576168
