id,source_db,smiles,name,cas,dn,an,epsilon_r,viscosity_cp,dipole_debye,conductivity_S_cm,oxidation_V,reduction_V,family,doi,license,notes
ELO-00057,ELO,C1(c2ccccc2)(c2ccccc2)CC1,,,nan,nan,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1021/acs.chemmater.4c03196,MIT,Electrolytomics
ELO-00058,ELO,C(CN)c1ccc(cc1)O,,,nan,nan,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1021/acs.chemmater.4c03196,MIT,Electrolytomics
ELO-00059,ELO,N(N(C)C)(CCC)C,,,nan,nan,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1021/acs.chemmater.4c03196,MIT,Electrolytomics
ELO-00060,ELO,Cc1ccc(OC)s1,,,nan,nan,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1021/acs.chemmater.4c03196,MIT,Electrolytomics
ELO-00061,ELO,CC[C@H]1C=CC=C1CC,,,nan,nan,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1021/acs.chemmater.4c03196,MIT,Electrolytomics
ELO-00062,ELO,C=Cc1cn(ccc1=c1ccn(C)cc1)C/N=C(\C)/O,,,nan,nan,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1021/acs.chemmater.4c03196,MIT,Electrolytomics
ELO-00063,ELO,c1ccc(cc1)C1=CSC=C(C(=N)O)S1,,,nan,nan,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1021/acs.chemmater.4c03196,MIT,Electrolytomics
ELO-00064,ELO,CC(C)(C)c1cc2c(cc1C(C)(C)C)[nH]s[nH]2,,,nan,nan,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1021/acs.chemmater.4c03196,MIT,Electrolytomics
ELO-00065,ELO,C(=O)(O)c1cc(S([O])([O])O)ccc1O,,,nan,nan,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1021/acs.chemmater.4c03196,MIT,Electrolytomics
ELO-00066,ELO,C(=C\c1ccccc1)(\Cl)/c1ccccc1,,,nan,nan,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1021/acs.chemmater.4c03196,MIT,Electrolytomics
ELO-00067,ELO,CCC1=C[C@@H](CC1)C#N,,,nan,nan,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1021/acs.chemmater.4c03196,MIT,Electrolytomics
ELO-00068,ELO,C/C(=N/c1c(F)nccn1)/O,,,nan,nan,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1021/acs.chemmater.4c03196,MIT,Electrolytomics
