mol_id,smiles,dn_rf,dn_empirical,dn_final,confidence,is_anchor
835,OCOC1CCNC1,28.409000000000024,22.965808849385468,25.54282019672441,medium,False
836,CCC(O)OCO,20.114400000000014,18.400787774821595,19.238523997902533,high,False
837,OCOC(O)O,19.50080000000001,16.871364139341566,18.13849767231212,medium,False
838,CC(O)OCO,19.740600000000022,18.417041750053748,19.06733999201544,high,False
839,COP(=O)(OC)OCO,17.387200000000018,14.889267939908377,16.089831556755815,medium,False
840,CCCCOCOC,19.9426,20.45988809343252,20.199588220854586,high,False
841,COCOC(C)(C)C,19.437599999999996,20.42766757285233,19.926485671439266,high,False
842,COCON,25.69640000000003,23.336135655786254,24.487847522094434,high,False
843,CNOCOC,26.86820000000007,23.335455336453457,25.039602254646546,medium,False
844,CCNOCOC,28.781800000000057,23.339526725923108,25.918209627985014,medium,False
845,COCON(C)C,27.7522000000001,23.300403610855813,25.42906724772254,medium,False
846,COCON1CC1,27.933600000000077,23.304516627849907,25.514291008681976,medium,False
847,COCOF,18.463200000000008,16.252818102900545,17.322789359611615,high,False
848,COCOCl,20.26659999999999,20.46023539211219,20.36318753529959,high,False
849,COCOC(C)=O,17.293200000000024,18.294709394949038,17.786907221569834,high,False
850,COCOC(=O)O,16.98459999999999,16.805293397047357,16.89470882351899,high,False
851,COCOC(N)=O,25.649000000000054,21.30287797540678,23.375147426085032,medium,False
852,CNC(=O)OCOC,27.409600000000058,21.243783881591575,24.130553633948676,medium,False
853,COCOC#N,23.99620000000009,23.098866882273136,23.54325868439636,high,False
854,COCOS,21.007399999999986,20.44283468534246,20.723194863940815,high,False
855,COCOSC,21.50279999999999,20.404451027374247,20.94642760833987,high,False
856,COCOS(C)=O,20.923600000000008,18.13243238872012,19.478084154470235,medium,False
857,COCOS(C)(=O)=O,19.898800000000005,16.476252161101613,18.106839771294407,medium,False
858,COCOc1ccccc1,17.481200000000012,20.56003505509132,18.958219452392214,high,False
859,COCOc1ccncc1,29.759800000000045,23.445046193153807,26.414387853952242,medium,False
860,COCOc1cnccn1,28.27280000000005,26.4681022634231,27.355572771801178,high,False
861,COCOC1CCOC1,18.3674,18.826094019154326,18.59533272860196,high,False
862,COCOC1CCNC1,28.779400000000027,23.35130940545573,25.923670147249084,medium,False
863,CCC(O)OCOC,19.3618,18.386278320734426,18.867735518349726,high,False
864,COCOC(O)O,19.587600000000002,16.856853054515273,18.171001482874395,medium,False
865,COCOC(C)O,19.449200000000015,18.40253229553032,18.91862920832872,high,False
866,COCOP(=O)(OC)OC,17.190400000000015,14.871312146396445,15.988865010419397,medium,False
867,CCCCOCCO,20.0134,20.06086878418881,20.03712033515506,high,False
868,CC(C)(C)OCCO,19.258200000000002,20.040100334925757,19.645260504001143,high,False
869,NOCCO,25.30420000000004,22.92892455991783,24.08730148541081,high,False
870,CNOCCO,26.349200000000057,22.906502002552426,24.567621019660322,medium,False
871,CCNOCCO,28.484000000000055,22.917254854078813,25.549463541600677,medium,False
872,CN(C)OCCO,27.314400000000067,22.891353002540242,25.005270893405388,medium,False
873,OCCON1CC1,27.778200000000034,22.905815397345215,25.224637188085296,medium,False
874,OCCOF,18.714400000000012,16.266999473843075,17.447840409440047,medium,False
875,OCCOCl,20.544600000000013,20.071730413031126,20.30678883141201,high,False
876,CC(=O)OCCO,17.541400000000028,18.309936397198207,17.92154899325985,high,False
877,O=C(O)OCCO,17.272799999999997,16.820672115460077,17.045237027273007,high,False
878,NC(=O)OCCO,25.293800000000047,21.31821793093242,23.221083969130714,medium,False
879,CNC(=O)OCCO,26.864000000000047,21.25912346577286,23.89780518760087,medium,False
880,N#COCCO,23.848600000000072,23.07774386524858,23.460006017577424,high,False
881,OCCOS,21.39060000000001,20.01608015278501,20.691929927296854,high,False
882,CSOCCO,21.482599999999998,19.992320001406597,20.72406846307494,high,False
883,CS(=O)OCCO,21.201800000000002,18.142491980452967,19.612584900292152,medium,False
884,CS(=O)(=O)OCCO,20.1244,16.486446069049144,18.214824601735057,medium,False
885,OCCOc1ccccc1,17.73920000000001,20.164401583287848,18.912967841305605,high,False
886,OCCOc1ccncc1,29.54480000000003,23.04638181749622,26.094074835517027,medium,False
