id,source_db,smiles,name,cas,formula,sigma_ion_S_cm,E_g_eV,migration_barrier_eV,space_group,icsd_id,dn,an,epsilon_r,viscosity_cp,dipole_debye,conductivity_S_cm,oxidation_V,reduction_V,family,doi,license,notes
SUP-0346,McHaffie_superionic,,LiLa(PO3)4,,LiLa(PO3)4,6.25e-15,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0347,McHaffie_superionic,,LiCe(BH4)3Cl,,LiCe(BH4)3Cl,0.000103,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0348,McHaffie_superionic,,Li6.06Al0.2La3Zr2O12,,Li6.06Al0.2La3Zr2O12,0.0004,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0349,McHaffie_superionic,,Li6BaLa2Ta2O12,,Li6BaLa2Ta2O12,2.45e-05,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0350,McHaffie_superionic,,(Li0.5Ce0.5)(MoO4),,(Li0.5Ce0.5)(MoO4),1.3e-08,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0351,McHaffie_superionic,,(Li0.5Ce0.25Pr0.25)(MoO4),,(Li0.5Ce0.25Pr0.25)(MoO4),1e-09,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0352,McHaffie_superionic,,(Li0.5Ce0.25Sm0.25)(MoO4),,(Li0.5Ce0.25Sm0.25)(MoO4),1.8e-10,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0353,McHaffie_superionic,,Li2(PO2N),,Li2(PO2N),3.29e-08,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0354,McHaffie_superionic,,Li(Li0.134Mn0.470Ni0.257Co0.138)O2,,Li(Li0.134Mn0.470Ni0.257Co0.138)O2,3.67e-07,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0355,McHaffie_superionic,,Li(Li0.137Mn0.473Ni0.252Co0.137)O2,,Li(Li0.137Mn0.473Ni0.252Co0.137)O2,3.31e-06,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0356,McHaffie_superionic,,Li(Li0.149Mn0.467Ni0.246Co0.137)O2,,Li(Li0.149Mn0.467Ni0.246Co0.137)O2,4.88e-06,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0357,McHaffie_superionic,,Li(Li0.136Mn0.467Ni0.258Co0.139)O2,,Li(Li0.136Mn0.467Ni0.258Co0.139)O2,7.13e-07,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0358,McHaffie_superionic,,Li10GePS12,,Li10GePS12,0.0121,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0359,McHaffie_superionic,,Nd3Zr2Al0.5Li5.5O12,,Nd3Zr2Al0.5Li5.5O12,3.9e-05,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0360,McHaffie_superionic,,LiZr2(AsO4)3,,LiZr2(AsO4)3,1.12e-09,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0361,McHaffie_superionic,,(La0.49Li0.461Sr0.049)(TiO3),,(La0.49Li0.461Sr0.049)(TiO3),0.000709,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0362,McHaffie_superionic,,(La0.46Li0.429Sr0.111)(TiO3),,(La0.46Li0.429Sr0.111)(TiO3),0.000197,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0363,McHaffie_superionic,,(La0.402Li0.368Sr0.230)(TiO3),,(La0.402Li0.368Sr0.230)(TiO3),2.87e-05,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0364,McHaffie_superionic,,Li0.25La0.25Sr0.5TiO3,,Li0.25La0.25Sr0.5TiO3,1.56e-21,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0365,McHaffie_superionic,,Li6.46Al0.081La3Zr2O12,,Li6.46Al0.081La3Zr2O12,0.00049,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0366,McHaffie_superionic,,Li1.15Y0.15Zr1.85(PO4)3,,Li1.15Y0.15Zr1.85(PO4)3,0.00014,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0367,McHaffie_superionic,,Li2(B3PO8),,Li2(B3PO8),5.17e-15,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0368,McHaffie_superionic,,Li2(B3PO8),,Li2(B3PO8),0.00052,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0369,McHaffie_superionic,,Li10SnP2S12,,Li10SnP2S12,0.007,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0370,McHaffie_superionic,,Li4SnSe4,,Li4SnSe4,2e-05,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0371,McHaffie_superionic,,Li10.35Ge1.35P1.65S12,,Li10.35Ge1.35P1.65S12,0.0144,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0372,McHaffie_superionic,,(Li6.26Al0.24)La3Zr2O12,,(Li6.26Al0.24)La3Zr2O12,0.00031,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0373,McHaffie_superionic,,CsLi5Mn(P2O7)2,,CsLi5Mn(P2O7)2,3.37e-13,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0374,McHaffie_superionic,,Li3(Li1.5Cr0.5Te)O6,,Li3(Li1.5Cr0.5Te)O6,2.13e-10,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0375,McHaffie_superionic,,Li3(Li1.5Mn0.5Te)O6,,Li3(Li1.5Mn0.5Te)O6,9.89e-13,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0376,McHaffie_superionic,,Li3(Li1.5Al0.5Te)O6,,Li3(Li1.5Al0.5Te)O6,4.6e-13,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
